"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2022","123.350","123.350","123.350","123.350","","9.89%"
"10/28/2022","112.244","112.244","112.244","112.244","","4.52%"
"10/27/2022","107.385","107.385","107.385","107.385","","2.94%"
"10/26/2022","104.320","104.320","104.320","104.320","","4.53%"
"10/25/2022","99.795","99.795","99.795","99.795","","0.63%"
"10/24/2022","99.170","99.170","99.170","99.170","","-12.68%"
"10/21/2022","113.575","113.575","113.575","113.575","","-10.67%"
"10/20/2022","127.145","127.145","127.145","127.145","","13.01%"
"10/19/2022","112.510","112.510","112.510","112.510","","-0.63%"
"10/18/2022","113.220","113.220","113.220","113.220","","-11.53%"
"10/17/2022","127.980","127.980","127.980","127.980","","-9.87%"
"10/14/2022","141.995","141.995","141.995","141.995","","-7.68%"
"10/13/2022","153.810","153.810","153.810","153.810","","-3.98%"
"10/12/2022","160.190","160.190","160.190","160.190","","2.18%"
"10/11/2022","156.780","156.780","156.780","156.780","","1.73%"
"10/10/2022","154.120","154.120","154.120","154.120","","-1.33%"
"10/07/2022","156.205","156.205","156.205","156.205","","-11.10%"
"10/06/2022","175.710","175.710","175.710","175.710","","1.16%"
"10/05/2022","173.695","173.695","173.695","173.695","","7.25%"
"10/04/2022","161.950","161.950","161.950","161.950","","-4.68%"
"10/03/2022","169.910","169.910","169.910","169.910","","-10.01%"
"09/30/2022","188.800","188.800","188.800","188.800","","0.60%"
"09/29/2022","187.665","187.665","187.665","187.665","","-9.42%"
"09/28/2022","207.185","207.185","207.185","207.185","","11.33%"
"09/27/2022","186.100","186.100","186.100","186.100","","7.06%"
"09/26/2022","173.835","173.835","173.835","173.835","","-6.29%"
"09/23/2022","185.495","185.495","185.495","185.495","","-1.05%"
"09/22/2022","187.470","187.470","187.470","187.470","","-1.22%"
"09/21/2022","189.780","189.780","189.780","189.780","","-2.31%"
"09/20/2022","194.260","194.260","194.260","194.260","","6.58%"
"09/19/2022","182.260","182.260","182.260","182.260","","-2.95%"
"09/16/2022","187.795","187.795","187.795","187.795","","-12.36%"
"09/15/2022","214.285","214.285","214.285","214.285","0.01K","-1.65%"
"09/14/2022","217.880","217.880","217.880","217.880","","9.70%"
"09/13/2022","198.610","198.610","198.610","198.610","","4.21%"
"09/12/2022","190.590","190.590","190.590","190.590","","-7.97%"
"09/09/2022","207.090","207.090","207.090","207.090","","-6.10%"
"09/08/2022","220.540","220.540","220.540","220.540","","3.11%"
"09/07/2022","213.885","213.885","213.885","213.885","","-10.82%"
"09/06/2022","239.840","239.840","239.840","239.840","","11.73%"
"09/02/2022","214.665","214.665","214.665","214.665","","-11.66%"
"09/01/2022","243.005","243.005","243.005","243.005","","1.29%"
"08/31/2022","239.905","239.905","239.905","239.905","","-5.15%"
"08/30/2022","252.937","252.937","252.937","252.937","","-7.21%"
"08/29/2022","272.605","272.605","272.605","272.605","","-19.63%"
"08/26/2022","339.195","339.195","339.195","339.195","","5.53%"
"08/25/2022","321.415","321.415","321.415","321.415","","10.02%"
"08/24/2022","292.150","292.150","292.150","292.150","","8.59%"
"08/23/2022","269.050","269.050","269.050","269.050","","-2.78%"
"08/22/2022","276.750","276.750","276.750","276.750","","13.17%"
"08/19/2022","244.550","244.550","244.550","244.550","","1.47%"
"08/18/2022","241.005","241.005","241.005","241.005","","6.72%"
"08/17/2022","225.835","225.835","225.835","225.835","","-0.04%"
"08/16/2022","225.915","225.915","225.915","225.915","","2.64%"
"08/15/2022","220.110","220.110","220.110","220.110","","6.79%"
"08/12/2022","206.110","206.110","206.110","206.110","","-0.96%"
"08/11/2022","208.110","208.110","208.110","208.110","","1.34%"
"08/10/2022","205.365","205.365","205.365","205.365","","6.86%"
"08/09/2022","192.185","192.185","192.185","192.185","","-0.45%"
"08/08/2022","193.055","193.055","193.055","193.055","","-1.66%"
"08/05/2022","196.320","196.320","196.320","196.320","","-1.47%"
"08/04/2022","199.250","199.250","199.250","199.250","","0.03%"
"08/03/2022","199.195","199.195","199.195","199.195","","-2.91%"
"08/02/2022","205.175","205.175","205.175","205.175","","2.18%"
"08/01/2022","200.795","200.795","200.795","200.795","","5.18%"
"07/29/2022","190.915","190.915","190.915","190.915","","-4.03%"
"07/28/2022","198.930","198.930","198.930","198.930","","-3.07%"
"07/27/2022","205.225","205.225","205.225","205.225","","2.65%"
"07/26/2022","199.920","199.920","199.920","199.920","","13.20%"
"07/25/2022","176.615","176.615","176.615","176.615","","10.48%"
"07/22/2022","159.865","159.865","159.865","159.865","","2.74%"
"07/21/2022","155.600","155.600","155.600","155.600","","0.36%"
"07/20/2022","155.040","155.040","155.040","155.040","","0.38%"
"07/19/2022","154.455","154.455","154.455","154.455","","-1.78%"
"07/18/2022","157.260","157.260","157.260","157.260","","-1.44%"
"07/15/2022","159.565","159.565","159.565","159.565","","-8.84%"
"07/14/2022","175.035","175.035","175.035","175.035","","-3.03%"
"07/13/2022","180.505","180.505","180.505","180.505","","4.57%"
"07/12/2022","172.610","172.610","172.610","172.610","","4.92%"
"07/11/2022","164.520","164.520","164.520","164.520","","-6.10%"
"07/08/2022","175.210","175.210","175.210","175.210","","-4.35%"
"07/07/2022","183.185","183.185","183.185","183.185","","7.13%"
"07/06/2022","171.000","171.000","171.000","171.000","","3.59%"
"07/05/2022","165.075","165.075","165.075","165.075","","11.70%"
"07/01/2022","147.785","147.785","147.785","147.785","","2.26%"
